N,lL,hH,LH,data_name,x,y
1,0.10,0.10,0.625,0.25,1,2156.79
1,0.10,0.10,0.625,0.25,1.08,1933.72
1,0.10,0.10,0.625,0.25,1.17,1726.32
1,0.10,0.10,0.625,0.25,1.26,1558.65
1,0.10,0.10,0.625,0.25,1.36,1403.5
1,0.10,0.10,0.625,0.25,1.47,1260.61
1,0.10,0.10,0.625,0.25,1.59,1131.14
1,0.10,0.10,0.625,0.25,1.71,1021.14
1,0.10,0.10,0.625,0.25,1.85,912.88
1,0.10,0.10,0.625,0.25,2,815.726
1,0.10,0.10,0.625,0.25,2.16,731.772
1,0.10,0.10,0.625,0.25,2.33,657.504
1,0.10,0.10,0.625,0.25,2.51,587.184
1,0.10,0.10,0.625,0.25,2.71,524.71
1,0.10,0.10,0.625,0.25,2.93,468.152
1,0.10,0.10,0.625,0.25,3.17,418.358
1,0.10,0.10,0.625,0.25,3.42,376.024
1,0.10,0.10,0.625,0.25,3.69,338.908
1,0.10,0.10,0.625,0.25,3.99,305.096
1,0.10,0.10,0.625,0.25,4.3,276.402
1,0.10,0.10,0.625,0.25,4.65,249.634
1,0.10,0.10,0.625,0.25,5.02,226.451
1,0.10,0.10,0.625,0.25,5.42,205.785
1,0.10,0.10,0.625,0.25,5.85,187.524
1,0.10,0.10,0.625,0.25,6.32,167.611
1,0.10,0.10,0.625,0.25,6.82,143.999
1,0.10,0.10,0.625,0.25,7.37,128.598
1,0.10,0.10,0.625,0.25,7.96,115.158
1,0.10,0.10,0.625,0.25,8.59,104.319
1,0.10,0.10,0.625,0.25,9.28,95.2656
1,0.10,0.10,0.625,0.25,10.02,85.7992
1,0.10,0.10,0.625,0.25,10.82,78.3623
1,0.10,0.10,0.625,0.25,11.68,71.7471
1,0.10,0.10,0.625,0.25,12.61,65.7102
1,0.10,0.10,0.625,0.25,13.62,60.2116
1,0.10,0.10,0.625,0.25,14.71,55.1588
1,0.10,0.10,0.625,0.25,15.88,50.5166
1,0.10,0.10,0.625,0.25,17.15,46.2752
1,0.10,0.10,0.625,0.25,18.52,42.318
1,0.10,0.10,0.625,0.25,20,38.9231
1,0.10,0.10,0.625,0.50,1,608.582
1,0.10,0.10,0.625,0.50,1.08,551.561
1,0.10,0.10,0.625,0.50,1.17,497.672
1,0.10,0.10,0.625,0.50,1.26,452.293
1,0.10,0.10,0.625,0.50,1.36,410.255
1,0.10,0.10,0.625,0.50,1.47,371.006
1,0.10,0.10,0.625,0.50,1.59,334.636
1,0.10,0.10,0.625,0.50,1.71,304.884
1,0.10,0.10,0.625,0.50,1.85,275.241
1,0.10,0.10,0.625,0.50,2,249.876
