N,lL,hH,LH,data_name,x,y
1,0.10,0.10,0.625,0.25,1,28452.1
1,0.10,0.10,0.625,0.25,1.08,26719.4
1,0.10,0.10,0.625,0.25,1.17,24906.2
1,0.10,0.10,0.625,0.25,1.26,23221.3
1,0.10,0.10,0.625,0.25,1.36,21459.4
1,0.10,0.10,0.625,0.25,1.47,19688.4
1,0.10,0.10,0.625,0.25,1.59,17958.7
1,0.10,0.10,0.625,0.25,1.71,16424.9
1,0.10,0.10,0.625,0.25,1.85,14861.9
1,0.10,0.10,0.625,0.25,2,13425.3
1,0.10,0.10,0.625,0.25,2.16,12120.2
1,0.10,0.10,0.625,0.25,2.33,10942.8
1,0.10,0.10,0.625,0.25,2.51,9893.56
1,0.10,0.10,0.625,0.25,2.71,8924.4
1,0.10,0.10,0.625,0.25,2.93,8020.56
1,0.10,0.10,0.625,0.25,3.17,7216.94
1,0.10,0.10,0.625,0.25,3.42,6509.78
1,0.10,0.10,0.625,0.25,3.69,5882.46
1,0.10,0.10,0.625,0.25,3.99,5285.08
1,0.10,0.10,0.625,0.25,4.3,4787.87
1,0.10,0.10,0.625,0.25,4.65,4302.38
1,0.10,0.10,0.625,0.25,5.02,3879.93
1,0.10,0.10,0.625,0.25,5.42,3504.05
1,0.10,0.10,0.625,0.25,5.85,3166.45
1,0.10,0.10,0.625,0.25,6.32,2845.55
1,0.10,0.10,0.625,0.25,6.82,2570.25
1,0.10,0.10,0.625,0.25,7.37,2311.9
1,0.10,0.10,0.625,0.25,7.96,2069.49
1,0.10,0.10,0.625,0.25,8.59,1858.39
1,0.10,0.10,0.625,0.25,9.28,1665.39
1,0.10,0.10,0.625,0.25,10.02,1488.13
1,0.10,0.10,0.625,0.25,10.82,1323.84
1,0.10,0.10,0.625,0.25,11.68,1181.21
1,0.10,0.10,0.625,0.25,12.61,1042.21
1,0.10,0.10,0.625,0.25,13.62,917.475
1,0.10,0.10,0.625,0.25,14.71,808.775
1,0.10,0.10,0.625,0.25,15.88,717.632
1,0.10,0.10,0.625,0.25,17.15,630.9
1,0.10,0.10,0.625,0.25,18.52,557.085
1,0.10,0.10,0.625,0.25,20,488.118
1,0.10,0.10,0.625,0.50,1,11953.3
1,0.10,0.10,0.625,0.50,1.08,11180.3
1,0.10,0.10,0.625,0.50,1.17,10391.5
1,0.10,0.10,0.625,0.50,1.26,9659.37
1,0.10,0.10,0.625,0.50,1.36,8898.99
1,0.10,0.10,0.625,0.50,1.47,8135.62
1,0.10,0.10,0.625,0.50,1.59,7390.69
1,0.10,0.10,0.625,0.50,1.71,6732.8
1,0.10,0.10,0.625,0.50,1.85,6069.25
1,0.10,0.10,0.625,0.50,2,5464.6
1,0.10,0.10,0.625,0.50,2.16,4918.82
1,0.10,0.10,0.625,0.50,2.33,4432.13
1,0.10,0.10,0.625,0.50,2.51,3996.7
1,0.10,0.10,0.625,0.50,2.71,3595.46
1,0.10,0.10,0.625,0.50,2.93,3226.87
1,0.10,0.10,0.625,0.50,3.17,2892.72
1,0.10,0.10,0.625,0.50,3.42,2604.13
1,0.10,0.10,0.625,0.50,3.69,2343.56
1,0.10,0.10,0.625,0.50,3.99,2100.39
1,0.10,0.10,0.625,0.50,4.3,1897.13
1,0.10,0.10,0.625,0.50,4.65,1698.7
1,0.10,0.10,0.625,0.50,5.02,1527.34
1,0.10,0.10,0.625,0.50,5.42,1376.42
1,0.10,0.10,0.625,0.50,5.85,1235.78
1,0.10,0.10,0.625,0.50,6.32,1108.16
1,0.10,0.10,0.625,0.50,6.82,997.892
1,0.10,0.10,0.625,0.50,7.37,893.268
1,0.10,0.10,0.625,0.50,7.96,796.603
1,0.10,0.10,0.625,0.50,8.59,713.321
1,0.10,0.10,0.625,0.50,9.28,637.418
1,0.10,0.10,0.625,0.50,10.02,566.059
1,0.10,0.10,0.625,0.50,10.82,503.046
1,0.10,0.10,0.625,0.50,11.68,446.677
1,0.10,0.10,0.625,0.50,12.61,392.017
1,0.10,0.10,0.625,0.50,13.62,342.715
1,0.10,0.10,0.625,0.50,14.71,303.144
1,0.10,0.10,0.625,0.50,15.88,267.087
1,0.10,0.10,0.625,0.50,17.15,234.486
1,0.10,0.10,0.625,0.50,18.52,206.602
1,0.10,0.10,0.625,0.50,20,179.528
1,0.10,0.10,0.625,1.00,1,3559.31
1,0.10,0.10,0.625,1.00,1.08,3328.29
1,0.10,0.10,0.625,1.00,1.17,3086.73
1,0.10,0.10,0.625,1.00,1.26,2857.85
1,0.10,0.10,0.625,1.00,1.36,2621.95
1,0.10,0.10,0.625,1.00,1.47,2388.78
1,0.10,0.10,0.625,1.00,1.59,2164.77
1,0.10,0.10,0.625,1.00,1.71,1968.56
1,0.10,0.10,0.625,1.00,1.85,1770.87
1,0.10,0.10,0.625,1.00,2,1590.96
1,0.10,0.10,0.625,1.00,2.16,1428.9
1,0.10,0.10,0.625,1.00,2.33,1284.32
1,0.10,0.10,0.625,1.00,2.51,1156.25
1,0.10,0.10,0.625,1.00,2.71,1036.36
1,0.10,0.10,0.625,1.00,2.93,927.845
1,0.10,0.10,0.625,1.00,3.17,829.037
1,0.10,0.10,0.625,1.00,3.42,745.192
1,0.10,0.10,0.625,1.00,3.69,668.236
1,0.10,0.10,0.625,1.00,3.99,599.216
1,0.10,0.10,0.625,1.00,4.3,538.516
1,0.10,0.10,0.625,1.00,4.65,482.209
1,0.10,0.10,0.625,1.00,5.02,433.506
1,0.10,0.10,0.625,1.00,5.42,389.825
1,0.10,0.10,0.625,1.00,5.85,349.484
1,0.10,0.10,0.625,1.00,6.32,313.801
1,0.10,0.10,0.625,1.00,6.82,282.04
1,0.10,0.10,0.625,1.00,7.37,251.918
1,0.10,0.10,0.625,1.00,7.96,225.065
1,0.10,0.10,0.625,1.00,8.59,201.523
1,0.10,0.10,0.625,1.00,9.28,179.565
1,0.10,0.10,0.625,1.00,10.02,159.28
1,0.10,0.10,0.625,1.00,10.82,141.61
1,0.10,0.10,0.625,1.00,11.68,124.779
1,0.10,0.10,0.625,1.00,12.61,109.467
1,0.10,0.10,0.625,1.00,13.62,96.1152
1,0.10,0.10,0.625,1.00,14.71,85.201
1,0.10,0.10,0.625,1.00,15.88,74.8606
1,0.10,0.10,0.625,1.00,17.15,65.8172
1,0.10,0.10,0.625,1.00,18.52,57.3412
1,0.10,0.10,0.625,1.00,20,49.6846
1,0.10,0.10,0.625,2.00,1,735.968
1,0.10,0.10,0.625,2.00,1.08,647.467
1,0.10,0.10,0.625,2.00,1.17,566.852
1,0.10,0.10,0.625,2.00,1.26,500.676
1,0.10,0.10,0.625,2.00,1.36,439.886
1,0.10,0.10,0.625,2.00,1.47,382.988
1,0.10,0.10,0.625,2.00,1.59,345.453
1,0.10,0.10,0.625,2.00,1.71,314.021
1,0.10,0.10,0.625,2.00,1.85,282.808
1,0.10,0.10,0.625,2.00,2,254.652
1,0.10,0.10,0.625,2.00,2.16,229.754
1,0.10,0.10,0.625,2.00,2.33,207.54
1,0.10,0.10,0.625,2.00,2.51,187.872
1,0.10,0.10,0.625,2.00,2.71,169.34
1,0.10,0.10,0.625,2.00,2.93,152.541
1,0.10,0.10,0.625,2.00,3.17,137.019
1,0.10,0.10,0.625,2.00,3.42,123.744
1,0.10,0.10,0.625,2.00,3.69,111.645
1,0.10,0.10,0.625,2.00,3.99,100.343
1,0.10,0.10,0.625,2.00,4.3,90.6933
1,0.10,0.10,0.625,2.00,4.65,81.5299
1,0.10,0.10,0.625,2.00,5.02,73.24
1,0.10,0.10,0.625,2.00,5.42,65.89
1,0.10,0.10,0.625,2.00,5.85,59.1827
1,0.10,0.10,0.625,2.00,6.32,52.9075
1,0.10,0.10,0.625,2.00,6.82,47.3806
1,0.10,0.10,0.625,2.00,7.37,42.3446
1,0.10,0.10,0.625,2.00,7.96,37.7716
1,0.10,0.10,0.625,2.00,8.59,33.5848
1,0.10,0.10,0.625,2.00,9.28,29.866
1,0.10,0.10,0.625,2.00,10.02,26.4385
1,0.10,0.10,0.625,2.00,10.82,23.3826
1,0.10,0.10,0.625,2.00,11.68,20.7282
1,0.10,0.10,0.625,2.00,12.61,18.4613
1,0.10,0.10,0.625,2.00,13.62,16.2526
1,0.10,0.10,0.625,2.00,14.71,14.3205
1,0.10,0.10,0.625,2.00,15.88,12.64
1,0.10,0.10,0.625,2.00,17.15,11.0967
1,0.10,0.10,0.625,2.00,18.52,9.83194
1,0.10,0.10,0.625,2.00,20,8.69264
1,0.10,0.10,0.625,4.00,1,95.4024
1,0.10,0.10,0.625,4.00,1.08,86.5392
1,0.10,0.10,0.625,4.00,1.17,79.7195
1,0.10,0.10,0.625,4.00,1.26,73.622
1,0.10,0.10,0.625,4.00,1.36,67.72
1,0.10,0.10,0.625,4.00,1.47,62.137
1,0.10,0.10,0.625,4.00,1.59,56.8986
1,0.10,0.10,0.625,4.00,1.71,52.367
1,0.10,0.10,0.625,4.00,1.85,47.78
1,0.10,0.10,0.625,4.00,2,43.5505
1,0.10,0.10,0.625,4.00,2.16,39.772
1,0.10,0.10,0.625,4.00,2.33,36.3362
1,0.10,0.10,0.625,4.00,2.51,33.2689
1,0.10,0.10,0.625,4.00,2.71,30.32
1,0.10,0.10,0.625,4.00,2.93,27.6046
1,0.10,0.10,0.625,4.00,3.17,25.04
1,0.10,0.10,0.625,4.00,3.42,22.8504
1,0.10,0.10,0.625,4.00,3.69,20.7776
1,0.10,0.10,0.625,4.00,3.99,18.8811
1,0.10,0.10,0.625,4.00,4.3,17.2291
1,0.10,0.10,0.625,4.00,4.65,15.6348
